,Argument ID,Conclusion,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
722,A18057,We should ban whaling.,in favor of,Whale hunting is cruel and inhuman; it should be prohibited.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
723,A18058,We should ban human cloning.,in favor of,Human cloning is unnatural and should be banned.,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
725,A18060,We should ban prayer in school.,against,We should not ban prayer in school because it is important for religious education.,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
731,A18066,We should abolish zoos.,in favor of,We should abolish zoos because it is cruel to put animals in cages like this in an area and is not their natural habitat and treat them essentially as pets.,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
736,A18072,We should ban cosmetic surgery.,against,The aesthetic surgery teaches our girls that they must look perfect and never age.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
739,A18075,We should ban prayer in school.,against,The prayer in school should be allowed in school because it is on it that our country was founded.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
742,A18078,We should abolish zoos.,in favor of,It's cruel for animals to be in cages.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
747,A18083,We must fight for the abolition of nuclear weapons.,against,We must not abolish nuclear weapons because they can be used in situations of extreme necessity such as the defence of a country.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
748,A18084,We should ban missionary work,against,Independent religious organizations should be free to seek new members if they do so in a fair and open manner.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
751,A18090,We should limit the remuneration of executives.,in favor of,The remuneration of managers should be limited to making companies more profitable.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
753,A18094,We should legalize cannabis.,in favor of,Some States have already done so so that we can as well.,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
754,A18096,We must abolish the right to keep and bear arms.,against,The right to keep and carry weapons is important to ensure the safety of people in a dangerous and uncertain world.,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
757,A18100,We should legalize sexual selection,against,It must be banned because it is immoral.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
761,A18108,We should adopt gender-neutral language.,against,"Other languages, such as Spanish and French, have even more gender languages than we do, and they have no problems.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
762,A18109,We should ban telemarketing.,in favor of,• Telemarketing should be banned because it is disruptive during the day for many people.,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
765,A18118,We should ban whaling.,in favor of,The whale kills whales in an inhumane way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
766,A18120,We should ban cosmetic surgery for minors.,in favor of,"The body of the children is constantly evolving throughout childhood so that, cosmetic surgery can be used to modify a part of the unloved body when it can change anyway, resulting in unnecessary surgery",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
770,A18125,We should ban fast food.,against,It's a free country. People are free to make bad nutritional decisions.,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
776,A18136,We should ban the use of children's actors.,against,The ban on children's actors would limit films and television programmes; it would be impossible to do anything with children in history; neither would television and children's films exist.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,A18141,We should legalize trade in organs.,in favor of,"People are more likely to share their organs if there are financial benefits to them, increasing supply.",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
785,A18149,We should abolish safe spaces.,in favor of,Safe spaces create an unrealistic environment that does not exist in the real world.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
786,A18150,We should put an end to compulsory retirement.,in favor of,"Just because someone has reached retirement age, they are always able to provide a valuable service with expertise and extensive knowledge of experience.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
787,A18152,We should limit the remuneration of executives.,in favor of,"If a company has received enough profits to offer bonuses to its managers, the money could be better spent on giving bonuses to the poorest staff members at the bottom of the chain.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
789,A18154,We should legalize sexual selection,in favor of,Sexual selection should be allowed to those who want a certain sex.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
797,A18169,We should ban human cloning.,in favor of,Human beings were created to be individuals unlike any other.,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
801,A18178,We should ban fast food.,in favor of,Fast food threatens the health of many Americans.,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
802,A18179,We should ban algorithmic trading.,in favor of,The algorithmic trading is unfair and does not allow the individual to earn money that does not have the algorithm.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
806,A18183,We should legalize sexual selection,against,"When people make fun of mother nature trying to choose their child's sex, only bad things can happen.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
810,A18188,We should ban the use of children's actors.,in favor of,Children must be in school and not work. We do not allow children to work in any other way and the action must not be different.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
811,A18189,We should abolish zoos.,in favor of,"Zoos are intrinsically cruel to animals, keeping them confined in unnatural conditions for the benefit of human visitors - they are miserable, and more prone to disease.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
812,A18192,We should legalize prostitution.,in favor of,"The legalization of prostitution will allow prostitutes to claim fair contracts and conditions, which they cannot do in the status quo since their work is illegal.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
813,A18195,We should abolish zoos.,against,We must not abolish zoos because they contribute to the rearing of endangered species and the reintroduction of animals into nature.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
815,A18200,We should ban cosmetic surgery.,in favor of,Aesthetic surgery creates a great desire for physical improvement that leads to an endless loop of body adjustments that has a detrimental effect on the individual.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
818,A18204,We should ban factory farming.,in favor of,It is not human for animals and must be stopped.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
825,A18216,We should ban fast food.,against,People should be able to choose what they want to eat.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,A18223,We should subsidize space exploration.,in favor of,Space exploration needs our support to help us understand the universe and our place in it.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
829,A18225,We should ban whaling.,in favor of,Whale hunting is inhumane and should be prohibited.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
831,A18227,We must limit judicial activism,in favor of,"Judges who rely on their own personal and political beliefs usurp the power of our elected officials and violate our constitutional rights,",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
836,A18233,We must put an end to the use of economic sanctions.,in favor of,They only hurt the poorest in society and are an outdated punishment.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
837,A18234,We should ban whaling.,in favor of,So often these creatures are massacred to death for a small part of their anatomy for medicine made by a scam doctor,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
839,A18237,We should cancel the pride parades.,against,Pride parades are an important part of society to promote freedom of choice and acceptance.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
840,A18238,We should subsidize space exploration.,against,Space exploration is a waste of taxpayers' money and should be financed by private companies.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
841,A18239,We should adopt a zero tolerance policy in schools.,in favor of,"While zero tolerance policies may seem unfair to the individual, bad and risky behaviour in schools is spreading faster than forest fires. Sometimes we have to set an example of an individual for the greater good.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
844,A18242,We should subsidize space exploration.,against,Humans should not colonize space until they learn to take care of the earth.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
858,A18265,We should abolish zoos.,in favor of,We must abolish zoos to prevent the cruel containment of wild animals.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
861,A18268,We should fund embryonic stem cell research.,against,Research on embryonic stem cells requires the destruction of human embryos and is therefore regarded as unethical by many people.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
862,A18270,We should legalize prostitution.,in favor of,"Everyone has the right to physical autonomy. If a person chooses to sell their body for sex, they should not be illegal.",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
864,A18276,We should abolish zoos.,against,"Zoos are the only places where some endangered species can survive that they are essential and we must not abolish them, we must support them and their breeding programs.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
870,A18285,We should abolish intellectual property rights,against,Someone was working hard to do something and then should be rewarded for it. That's what intellectual property rights all about.,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
871,A18286,We must abolish the right to keep and bear arms.,against,It is a fundamental right of American citizens to keep and bear arms and to suppress that right would only lead to the illegal trade in arms.,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
881,A18301,We should adopt gender-neutral language.,in favor of,· Non-sexist language will enable both sexes to be included and liberated to succeed as much as possible; eliminate the benefits of gender for all; and reduce discrimination and repression.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
886,A18314,We should limit the remuneration of executives.,in favor of,"Too often, the remuneration of managers is not satisfactory and, as such, causes work problems, so it must not only be limited, but stopped completely.",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
892,A18324,We should legalize trade in organs.,against,"People would sell organs because money is more important than health, putting them at risk.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
893,A18325,We should ban cosmetic surgery for minors.,against,A person should be allowed to choose what happens to his or her body.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,A18326,We should give up the use of the school uniform.,in favor of,School uniforms limit the ability to express oneself.,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
897,A18331,We must put an end to the use of economic sanctions.,against,This is the only way to send a hard message,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
900,A18335,We should put an end to compulsory retirement.,in favor of,"Compulsory retirement is discriminatory on the basis of age, which is an immutable characteristic, as is sex or race, in the sense that there is no control over it.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
903,A18340,We should ban prayer in school.,against,We should not ban prayer in school because it violates the rights of certain religions.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
906,A18344,We should ban the Church of Scientology,against,"This country was founded by freedom of religion, so people should have the right to follow any church they want.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
910,A18351,We should ban human cloning.,in favor of,Human cloning should be banned because it is not natural and has no purpose in the world. Individuality would be lost.,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
913,A18356,We should ban telemarketing.,against,We live in a capitalist country and telemarketing is the number of companies that grow and grow.,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
923,A18370,We should adopt gender-neutral language.,against,A non-sexist language is useless.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
926,A18375,We should oppose collectivism.,in favor of,Collectiveism focuses on the individual as well as on the ways in which each of us is unique. Supporting collectivism means wanting the individual to remain subordinate to society.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
929,A18381,We should abolish safe spaces.,in favor of,Safe spaces are often used to stifle the free expression of opinions.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
936,A18389,We should ban cosmetic surgery.,against,People have the right to improve their bodies in any way they want.,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
939,A18393,We should subsidize journalism.,against,"Journalists are paid enough, they don't need money anymore.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
944,A18400,We should abolish the Olympic Games,in favor of,♪ They're boring and they're too much money ♪,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
945,A18401,We should adopt a multi-party system.,against,The introduction of a multi-party system would be detrimental to the stability and coherence of our political system.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
947,A18403,We should limit the remuneration of executives.,in favor of,Indemnification for senior managers should be limited to ensure that senior staff do not receive all the rewards for companies that are supported by thousands of workers. All employees contribute to the success of a business.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
948,A18404,We should subsidize space exploration.,in favor of,We need to explore space to find minerals that are draining on our planet.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
950,A18407,We should fund embryonic stem cell research.,against,Some religions do not believe in this kind of research.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
954,A18411,We should adopt atheism,against,We should not adopt atheism because everyone should have something to believe.,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
962,A18422,We should abolish the Olympic Games,against,They increase tourism activities and stimulate the local economy.,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
964,A18424,We must fight for the abolition of nuclear weapons.,in favor of,Nuclear weapons will one day destroy everyone.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
965,A18425,We should adopt libertarianism.,in favor of,Libertarianism increases individual freedoms by preventing the government from controlling all aspects of our lives.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969,A18433,We should ban cosmetic surgery for minors.,against,Children should be entitled to a procedure if they have the permission of their parents.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
971,A18435,We should ban prayer in school.,against,"The fundamental message in prayer is universal, encouraging people to be caring and loving one another - it is a fundamental message for every child in school, regardless of their religion, and should be encouraged.",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
976,A18441,We should subsidize space exploration.,against,We have too many problems here on our own planet to worry about putting money in the research space.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
983,A18451,We should limit the remuneration of executives.,in favor of,The lack of control over the executive's remuneration increases the disparity between the wealthy and the wealthy.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
986,A18456,We should cancel the pride parades.,in favor of,The parades of pride are disturbing and cause chaos in the cities where they are held.,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
988,A18460,We should introduce compulsory voting.,in favor of,"The compulsory vote will lead to a much more representative parliamentary system, since everyone's vote will be taken into account.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
991,A18466,We should legalize trade in organs.,in favor of,People should be able to do what they want from their bodies.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
995,A18474,We should subsidize Wikipedia.,in favor of,wikipedia is a valuable resource that deserves funding,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000,A18480,We should legalize sexual selection,against,Gender is determined at birth and not something that a person should be allowed to change or decide for himself.,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
1005,A18489,We should ban telemarketing.,in favor of,The telemarketing is violent and intrusive. Undesirable calls from telemarketers are too boring,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1007,A18492,We should ban whaling.,against,Many people gain livelihoods on whale hunting,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1010,A18496,We should ban algorithmic trading.,in favor of,"Unless everyone uses algorithmic trading, the system would ensure that only those who had access to it would have the best chance of earning money.",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1011,A18497,We should limit the remuneration of executives.,in favor of,• Ceo should not be paid thousands of times more than their workers,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1012,A18498,We should introduce compulsory voting.,against,"Some citizens simply do not have time to vote, having more important things that can be much more crucial and holding that against them is authoritarian",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1021,A19013,We should adopt gender-neutral language.,against,The adoption of non-sexist language would be costly and a waste of resources that could be better used elsewhere.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1024,A19021,We should ban the use of children's actors.,against,Children's actors are an important part of the action industry and should continue to be allowed with restrictions to ensure the well-being of the child.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1029,A19026,We should adopt gender-neutral language.,against,"There is no reason to adopt gender-neutral language, for the fact that gender exists and that differences matter is indisputable!",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
1031,A19031,We should ban the Church of Scientology,in favor of,The Church of Scientology should be banned simply because it is wrong for a belief system to dictate how your medical care can and cannot happen - like psychiatry.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1038,A19044,We should adopt atheism,against,We live in an open society where freedom of religious expression is allowed. To go against this would be a betrayal of Western values.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1039,A19047,We should give up the use of the school uniform.,against,"The school uniform allows all children to look the same, thus reducing the likelihood of bullying.",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1040,A19049,We should legalize sexual selection,against,"Sexual selection plays the god, will create gender imbalances and will create negative stereotypes about the preferences of men and women.",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1043,A19054,We should ban cosmetic surgery.,against,We shouldn't ban people from cosmetic surgery some people don't like how they look and it's their money if they want to change that.,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,A19057,We should ban cosmetic surgery for minors.,in favor of,• Aesthetic surgery could lead to unforeseen problems for young people whose bodies are still growing and maturing.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1046,A19058,We should fund embryonic stem cell research.,against,Research on embryonic stem cells is immoral.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1052,A19066,We should ban factory farming.,in favor of,The animals in the factory farms are kept in terrible conditions and we have to stop this.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1066,A19089,We should ban whaling.,against,"Some cultures such as Inuit rely on whales for many things such as food and heating, and they use virtually all whales.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1070,A19096,We should ban missionary work,against,It is important that we help the least fortunate.,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1073,A19101,We should ban telemarketing.,against,• Telemarketing allows small businesses to save money by reducing overhead costs.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,A19103,We should put an end to compulsory retirement.,in favor of,Compulsory retirement forces people who are still excellent in their work to stop working long before they are ready.,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1076,A19105,We should ban algorithmic trading.,against,The algorithmic trading allows for a more equitable game in the trading of shares.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1078,A19108,We should abolish zoos.,in favor of,"Zoos are an environment stressful against nature for animals. No animal should have to live in a cage or enclosure just for the entertainment of people, it is cruel and useless.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1081,A19113,We should legalize prostitution.,in favor of,We need to legalize prostitution so that women as a whole learn that their place in society is simply like a commodity to be used by someone with more money,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1082,A19114,We should legalize cannabis.,in favor of,Cannabis is not a dangerous drug and can help people cope with mental problems such as anxiety,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1092,A19125,We should ban missionary work,against,It is outrageous to ban missionary work because people who help others cannot be forbidden to do this and can only be awarded and recognized in our society.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1096,A19129,We should cancel the pride parades.,against,"It would be a big step backwards, basically telling the lgbt community to no longer have a ""pride"" in which they are",0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1098,A19132,We should stop the development of autonomous cars.,against,Self-driving cars are our future and offer many advantages,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1100,A19135,We should abolish zoos.,in favor of,Zoos are cruel to caged animals and should be abolished.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1103,A19139,We should ban the use of children's actors.,against,"To tell a story in the theatre or movies we need children's actors. Without them, stories could only be adults. Stories that entertained us from lassie to Mary poppins would not exist.",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1109,A19149,We should ban human cloning.,in favor of,We should ban human cloning because it raises too many legal questions about ownership and identity.,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1114,A19157,We should fund embryonic stem cell research.,against,The disorder with nature could have unintended consequences.,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1119,A19165,We should ban telemarketing.,against,"• Telemarketing is a perfectly valid marketing approach, and is a key driver of economic activity.",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,A19171,We should ban telemarketing.,against,• Telemarketing can be a useful tool for attracting the attention of people who would otherwise not have access to information.,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1125,A19173,We should adopt a multi-party system.,against,A two-party system has served us well for years; why change what worked?,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1128,A19178,We should adopt libertarianism.,in favor of,Libertarianism frees citizens and business owners from costly regulation,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1129,A19180,We should stop the development of autonomous cars.,in favor of,● Self-driving cars tape the drivers of the ability to drive as they please,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1136,A19190,We should ban factory farming.,in favor of,Industrial agriculture is damaging the environment on a large scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1138,A19193,We should legalize sexual selection,against,"We should not legalize sexual selection because when we do it, we make fun of God's will.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1145,A19201,We should limit the remuneration of executives.,in favor of,"They earn the salary they earn for their work, so why do they get more?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1152,A19212,We should ban factory farming.,in favor of,Factory farming provides unhealthy and inhumane conditions for its livestock and should be banned.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1154,A19217,We should abolish safe spaces.,in favor of,"Safe spaces are a waste of time, and, honestly, can't even really be considered as all that ""safe"".",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1157,A19223,We should adopt atheism,against,"Atheism is godless and fundamentally lacks a coherent moral compass, so it must not be adopted.",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
1159,A19229,We should fund embryonic stem cell research.,against,The research on stem cells is the beginning of the desire to do more and more things that we should not ruin and we must stop it now before it goes further.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1161,A19232,We must abolish the right to keep and bear arms.,against,We should not abolish the right to keep and carry weapons because people have the right to defend themselves if someone intends to hurt you or break into your house.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1169,A19242,We should ban whaling.,in favor of,"Whale hunting is human and cruel and should be prohibited, especially if the whale population declines.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1170,A19245,We should abolish zoos.,in favor of,Zoos invade animals that are supposed to live in the world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1172,A19247,We should ban cosmetic surgery.,in favor of,"In addition, it could be dangerous for the joan rivers to die of complications during surgery.",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1173,A19248,We should limit the remuneration of executives.,against,"In a competitive market, companies must attract the best talent",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,A19257,We should oppose collectivism.,against,· Collectivism would be good in situations where it must be a group decision.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1179,A19260,We should legalize sexual selection,against,"In societies where sexual selection occurs, men are favored relative to women, resulting in a shift in sex ratio, leading many men to be unable to marry.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1182,A19265,We should introduce compulsory voting.,in favor of,"The mandatory vote would saturate the polls with new faces, causing more change and better results.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1183,A19267,We should subsidize space exploration.,in favor of,We should subsidize space exploration because it is beneficial for educational purposes.,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1184,A19271,We should ban telemarketing.,against,We shouldn't ban telemarketing because it's a useful way to make sales and it's not too abusive for people.,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,A19273,We should limit the remuneration of executives.,in favor of,The remuneration of managers should be limited so that those on the bottom can earn more money.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1186,A19274,We should ban algorithmic trading.,in favor of,We should ban algorithmic trading because Theres is a scientific breakthrough,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1190,A19279,We should abolish intellectual property rights,in favor of,• Intellectual property law prevents innovation and progress by not allowing the general development of an idea by others who might deserve this opportunity,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1192,A19284,We should abolish the Olympic Games,against,"The Olympic Games allow for a show of strength among athletes in a country in the same way as an athlete, allowing for global participation and unification.",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1196,A19291,We should ban algorithmic trading.,against,If the technology exists then it should be agreed to use it,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1205,A19305,We should ban prayer in school.,against,"Students have the right to express themselves, and this includes expressions of faith.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1212,A19314,We should abolish intellectual property rights,against,We should not abolish intellectual property rights because they protect this person's claim to his inventions and discoveries.,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1214,A19318,We should ban human cloning.,in favor of,Human cloning could in the future be a major problem for humanity by creating a natural imbalance.,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1215,A19320,We should ban cosmetic surgery.,against,Aesthetic surgery helps many people with their self-esteem.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1220,A19328,We should ban cosmetic surgery.,against,"If people want to do work, it's their choice.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,A19331,We should ban cosmetic surgery.,against,People have the right to correct their perceived shortcomings and to raise their self - esteem.,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
